user,text
@gunsnrosesgirl3,This guy in Bankok found an enormous python in his house
@SecurityTrybe,Python Projects For Hacking
@ai_insights3,Free data science certification courses: 1. Python http://cs50.harvard.edu/python/ 2. SQL http://online.stanford.edu/courses/soe-ydatabases0005-databases-relational-databases-and-sql… 3. PowerBI (Data Analytics) http://learn.microsoft.com/en-us/users/collinschedler-0717/collections/m14nt4rdwnwp04… 4. Tableau
